iter	Passed	Remaining
0	151	151622
1	152	76138
2	153	50989
3	154	38389
4	154	30804
5	155	25759
6	156	22158
7	156	19453
8	157	17378
9	158	15685
10	158	14289
11	159	13129
12	159	12147
13	160	11306
14	161	10574
15	161	9932
16	162	9368
17	162	8865
18	163	8420
19	163	8018
20	164	7657
21	164	7326
22	165	7023
23	165	6745
24	166	6487
25	166	6250
26	167	6031
27	167	5827
28	168	5638
29	169	5466
30	169	5303
31	170	5149
32	170	5003
33	171	4866
34	171	4736
35	172	4613
36	172	4499
37	173	4390
38	173	4286
39	174	4186
40	174	4092
41	175	4007
42	176	3922
43	176	3841
44	177	3762
45	177	3687
46	178	3615
47	178	3547
48	179	3481
49	179	3417
50	180	3357
51	181	3302
52	181	3248
53	182	3197
54	183	3145
55	183	3095
56	184	3047
57	184	3001
58	185	2956
59	185	2912
60	186	2868
61	186	2826
62	187	2788
63	188	2750
64	188	2712
65	189	2676
66	189	2640
67	190	2607
68	190	2574
69	191	2541
70	191	2509
71	192	2478
72	192	2448
73	193	2418
74	193	2392
75	194	2365
76	195	2340
77	195	2313
78	196	2287
79	196	2262
80	197	2237
81	197	2213
82	198	2188
83	198	2164
84	199	2142
85	199	2120
86	200	2099
87	200	2079
88	201	2060
89	201	2041
90	202	2021
91	202	2002
92	203	1983
93	203	1965
94	204	1947
95	204	1929
96	205	1912
97	205	1894
98	206	1878
99	207	1863
100	207	1848
101	208	1833
102	208	1819
103	209	1804
104	210	1791
105	210	1776
106	211	1763
107	211	1749
108	212	1736
109	213	1723
110	213	1710
111	214	1698
112	214	1685
113	215	1672
114	215	1659
115	216	1647
116	216	1634
117	217	1622
118	217	1611
119	218	1599
120	218	1588
121	219	1577
122	219	1567
123	220	1556
124	220	1546
125	221	1535
126	221	1524
127	222	1514
128	222	1504
129	223	1494
130	223	1485
131	224	1475
132	224	1466
133	225	1458
134	226	1450
135	226	1441
136	227	1432
137	227	1423
138	228	1415
139	228	1406
140	229	1397
141	229	1388
142	230	1380
143	230	1371
144	231	1364
145	231	1356
146	232	1349
147	233	1343
148	233	1335
149	234	1328
150	234	1320
151	235	1313
152	235	1306
153	236	1298
154	236	1291
155	237	1284
156	237	1277
157	238	1271
158	239	1265
159	239	1259
160	240	1252
161	240	1246
162	241	1239
163	241	1233
164	242	1226
165	242	1220
166	243	1214
167	243	1208
168	244	1202
169	245	1197
170	245	1192
